Blockmess: 1730

Aggregated Stats:
LongSummaryStatistics{count=50450, sum=13730423, min=1, average=272.159029, max=1425}

#####################################################

Specific stats for each replica:
LongSummaryStatistics{count=573, sum=190170, min=1, average=331.884817, max=1184}
LongSummaryStatistics{count=587, sum=195765, min=1, average=333.500852, max=1190}
LongSummaryStatistics{count=496, sum=166099, min=1, average=334.877016, max=1188}
LongSummaryStatistics{count=595, sum=200153, min=1, average=336.391597, max=1189}
LongSummaryStatistics{count=572, sum=192443, min=1, average=336.438811, max=1181}
LongSummaryStatistics{count=485, sum=164161, min=1, average=338.476289, max=1033}
LongSummaryStatistics{count=505, sum=174499, min=1, average=345.542574, max=1182}
LongSummaryStatistics{count=538, sum=186663, min=1, average=346.957249, max=1413}
LongSummaryStatistics{count=524, sum=185247, min=1, average=353.524809, max=955}
LongSummaryStatistics{count=530, sum=189133, min=1, average=356.854717, max=1189}
LongSummaryStatistics{count=639, sum=233745, min=1, average=365.798122, max=1182}
LongSummaryStatistics{count=568, sum=212444, min=1, average=374.021127, max=1422}
LongSummaryStatistics{count=540, sum=202362, min=1, average=374.744444, max=1425}
LongSummaryStatistics{count=600, sum=232852, min=1, average=388.086667, max=1193}
LongSummaryStatistics{count=553, sum=217041, min=1, average=392.479204, max=1414}
LongSummaryStatistics{count=592, sum=238166, min=1, average=402.307432, max=1419}
